smiles,CYP450_CYP1A2,CYP450_CYP2C19,CYP450_CYP2C9,CYP450_CYP2D6,CYP450_CYP3A4,Carcinogenicity_Carcinogenicity,Cardiotoxicity_Cardiotoxicity-1,Cardiotoxicity_Cardiotoxicity-10,Cardiotoxicity_Cardiotoxicity-30,Cardiotoxicity_Cardiotoxicity-5,Clinical_Toxicity_Clinical_toxicity,Developmental_and_Reproductive_Toxicity_Developmental_Toxicity,Developmental_and_Reproductive_Toxicity_Reproductive_Toxicity,Endocrine_Disruption_NR-AR-LBD,Endocrine_Disruption_NR-AR,Endocrine_Disruption_NR-AhR,Endocrine_Disruption_NR-ER-LBD,Endocrine_Disruption_NR-ER,Endocrine_Disruption_NR-PPAR-gamma,Endocrine_Disruption_NR-aromatase,Endocrine_Disruption_SR-ARE,Endocrine_Disruption_SR-ATAD5,Endocrine_Disruption_SR-HSE,Endocrine_Disruption_SR-MMP,Endocrine_Disruption_SR-p53,Hepatotoxicity_Hepatotoxicity,Irritation_and_Corrosion_Eye_Corrosion,Irritation_and_Corrosion_Eye_Irritation,Mutagenicity_Ames_Mutagenicity,Respiratory_Toxicity_Respiratory_Toxicity
C#CC(=O)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(=O)OC(C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(=O)OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C#CC(C)(C)O,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
C#CC(C)(O)CC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
C#CC(C)(O)CC(C)C,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C#CC(C)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,
C#CC(C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(C)OC(=O)C(C)NC(=O)c1ccccc1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)OC(=O)c1nnc2c3ccccc3n(COC)c2n1,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(O)(/C=C/Cl)CC,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
C#CC(O)(/C=C\Cl)CC,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
C#CC(O)(C=CCl)CC,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC(O)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(O)C(CC)CCCC,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C#CC(O)CCCCC,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
C#CC(O)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(OCC)OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,
C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
C#CC1(O)CCCCC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,,,,
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
C#CC1(OC(N)=O)CCCCC1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,
C#CCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
C#CCC(C(=O)OC)(C(=O)OC)C(C[N+](=O)[O-])c1ccccc1,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCC(C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
